variant,k,layer,recall,samples
input_only,1,6,0.8016666666666666,1200
input_only,1,7,0.77,1200
input_only,1,8,0.7758333333333334,1200
input_only,1,9,0.6791666666666667,1200
input_only,1,10,0.765,1200
input_only,1,11,0.6525,1200
input_only,1,12,0.7133333333333334,1200
input_only,1,13,0.6658333333333334,1200
input_only,1,14,0.7083333333333334,1200
input_only,1,15,0.7733333333333333,1200
input_only,1,16,0.7783333333333333,1200
input_only,1,17,0.6158333333333333,1200
input_only,1,18,0.7216666666666667,1200
input_only,1,19,0.775,1200
input_only,1,20,0.62,1200
input_only,1,21,0.7383333333333333,1200
input_only,1,22,0.4658333333333333,1200
input_only,1,23,0.7475,1200
input_only,1,24,0.7833333333333333,1200
input_only,1,25,0.67,1200
input_only,1,26,0.7508333333333334,1200
input_only,1,27,0.6816666666666666,1200
input_only,1,28,0.7883333333333333,1200
input_only,1,29,0.7466666666666667,1200
input_only,1,30,0.7325,1200
input_only,1,31,0.7775,1200
input_only,1,32,0.77,1200
input_only,1,33,0.6566666666666666,1200
input_only,1,34,0.695,1200
input_only,1,35,0.7033333333333334,1200
input_only,1,36,0.6608333333333334,1200
input_only,1,37,0.6458333333333334,1200
input_only,1,38,0.3725,1200
input_only,1,39,0.7958333333333333,1200
input_only,1,40,0.7641666666666667,1200
input_only,1,41,0.5716666666666667,1200
input_only,1,42,0.6491666666666667,1200
input_only,1,43,0.6408333333333334,1200
input_only,1,44,0.6441666666666667,1200
input_only,1,45,0.5808333333333333,1200
input_only,1,46,0.5333333333333333,1200
input_only,2,0,0.3591666666666667,1200
input_only,2,1,0.4125,1200
input_only,2,2,0.5183333333333333,1200
input_only,2,3,0.5283333333333333,1200
input_only,2,4,0.6416666666666667,1200
input_only,2,5,0.7416666666666667,1200
input_only,2,6,0.7133333333333334,1200
input_only,2,7,0.7158333333333333,1200
input_only,2,8,0.6975,1200
input_only,2,9,0.6225,1200
input_only,2,10,0.635,1200
input_only,2,11,0.6216666666666667,1200
input_only,2,12,0.6141666666666666,1200
input_only,2,13,0.5508333333333333,1200
input_only,2,14,0.705,1200
input_only,2,15,0.6716666666666666,1200
input_only,2,16,0.47833333333333333,1200
input_only,2,17,0.6841666666666667,1200
input_only,2,18,0.6766666666666666,1200
input_only,2,19,0.5841666666666666,1200
input_only,2,20,0.48583333333333334,1200
input_only,2,21,0.5983333333333334,1200
