slots,layer,events,local_hidden_cosine,local_hidden_relative_l2,fifo_pool_hit8,fifo_ranked_recall8,fifo_ranked_recall16
44,24,1947,0.995224603928403,0.0777743214283821,0.6826527991782229,0.17469183359013868,0.3216486902927581
44,25,1947,0.9972511292737097,0.059788440942409884,0.7089111453518233,0.19273240883410375,0.3333333333333333
44,26,1947,0.9927672951162103,0.08932265445628809,0.6498459167950693,0.17128916281458653,0.30752439650744734
44,27,1947,0.9958474780172517,0.0721829393722443,0.6869542886492039,0.18233179250128403,0.3350667693888033
44,28,1947,0.9911773755991076,0.11224747307439459,0.5500128402670775,0.12699024139702106,0.245120698510529
44,29,1947,0.9929129989846218,0.08748201366042652,0.7237416538263995,0.19857473035439138,0.37223934257832564
44,30,1947,0.9888277702319213,0.11633796356211266,0.6440035952747817,0.1730225988700565,0.30617616846430407
44,31,1947,0.9956710103927002,0.0589742739374829,0.8021314843348741,0.19324601951720596,0.37024910118130455
44,32,1947,0.9950092258285266,0.07367249904423537,0.7757447354904982,0.1939522342064715,0.37410118130457115
44,33,1947,0.9922517795942597,0.09796049563691045,0.6687211093990755,0.18759630200308167,0.3405238828967643
44,34,1947,0.9875027208611137,0.1352268542451075,0.5566897791474062,0.1368130457113508,0.2464689265536723
44,35,1947,0.9893177664577791,0.1205932039943554,0.6586414997431946,0.16615305598356445,0.30701078582434516
44,36,1947,0.9877234066620532,0.12360413763332,0.6370698510529019,0.17501284026707756,0.30925783256291733
44,37,1947,0.991699041864097,0.1089233119806133,0.5857729840780688,0.1510657421674371,0.2821648690292758
44,38,1947,0.9742931136525683,0.19430238373292819,0.42648947098099643,0.09784283513097072,0.18945814072932718
44,39,1947,0.9924666158289547,0.07678768408004343,0.7514766307139189,0.18477144324601952,0.3620313302516692
44,40,1947,0.9957298862203556,0.06532772555662376,0.7277863379558295,0.20441705187467898,0.3741653826399589
44,41,1947,0.9930545148159872,0.09163160802579111,0.6415639445300462,0.17745249101181304,0.3127247046738572
44,42,1947,0.9885808264199946,0.11868553178852884,0.5234334874165383,0.12435798664612224,0.23516949152542374
44,43,1947,0.9963708770731651,0.05951908859751125,0.6902285567539805,0.17289419619928095,0.3103492552645095
44,44,1947,0.9956323800177583,0.07215092333732703,0.5996404725218285,0.17347200821777092,0.2899332306111967
44,45,1947,0.9971979614185807,0.04977045837920656,0.6258346173600411,0.16512583461736005,0.2951977401129944
44,46,1947,0.99734458093916,0.04910333818795666,0.5832691319979456,0.1651900359527478,0.2867231638418079
44,47,340,0.9947420685840777,0.07040209939788461,0.43014705882352944,0.125,0.21911764705882353
64,0,1947,0.9709783614790349,0.22224532258455873,0.35150231124807396,0.04551874678993323,0.10053929121725731
64,1,1947,0.9949340859903218,0.06448929222006522,0.5347329224447869,0.12012069851052902,0.2148818695428865
64,2,1947,0.9864162779298546,0.10734937799994397,0.5760143810991268,0.12731124807395994,0.22091679506933745
64,3,1947,0.9973731054955077,0.041773243710734265,0.7623908577298408,0.14997431946584489,0.2727914740626605
64,4,1947,0.9891531578542269,0.07229126783459504,0.7223934257832563,0.12666923472008218,0.23979198767334362
64,5,1947,0.995579056318503,0.06407798746591233,0.6212121212121212,0.15838469440164354,0.2665639445300462
64,6,1947,0.9914657506154152,0.08818216443478823,0.5807010785824345,0.1469568567026194,0.22643810991268618
64,7,1947,0.9953235557743458,0.08144586509997366,0.5575885978428351,0.1348870056497175,0.2309964047252183
64,8,1947,0.9992146708048437,0.027095022626763544,0.7309964047252183,0.19523626091422702,0.3289676425269646
64,9,1947,0.9995484562811146,0.02271611393738709,0.7772855675398048,0.17790190035952747,0.3124678993323061
64,10,1947,0.9982752574240317,0.040085731608069275,0.7229070364663585,0.1821391884951207,0.329417051874679
64,11,1947,0.9993998690148106,0.026486859974810827,0.7611710323574731,0.18843091936312276,0.3560606060606061
64,12,1947,0.9956361723949767,0.08018173339876025,0.6108757062146892,0.13186954288649205,0.23080380071905496
64,13,1947,0.9987762038076028,0.0362243821526829,0.7703518233179251,0.16538263995891114,0.3176040061633282
64,14,1947,0.9980050100095865,0.045066849015023745,0.7529532614278377,0.16647406266050332,0.3061119671289163
64,15,1947,0.9995518518171027,0.01816579610322337,0.8803929121725732,0.15921931176168463,0.3156779661016949
64,16,1947,0.9990372176067475,0.03084053049381261,0.8438623523369286,0.17058294812532102,0.3278120184899846
64,17,1947,0.9982474491831537,0.04814665050002689,0.7447996918335902,0.16762968669748332,0.3200436569080637
64,18,1947,0.9930913418633464,0.10173176243519656,0.593477144324602,0.14856189008731382,0.2486517719568567
64,19,1947,0.9976029327168199,0.05627381690601847,0.7173857216230097,0.1848356445814073,0.3215844889573703
64,20,1947,0.9971410581540802,0.06281627505004107,0.6633923985618901,0.15466101694915255,0.266628145865434
64,21,1947,0.9921706086262987,0.09802687136257086,0.631291730868002,0.16583204930662557,0.27664355418592707
64,22,1947,0.976439226669355,0.16957836735393267,0.45672829994863895,0.0906522855675398,0.16069594247560348
64,23,1947,0.9984139400194278,0.04208895177426671,0.7788906009244992,0.15979712378017463,0.3020672829994864
64,24,1947,0.9960435885439878,0.06829980890563866,0.7301617873651772,0.16801489470980996,0.2899332306111967
64,25,1947,0.997781499246174,0.05184874247213239,0.7507704160246533,0.16775808936825887,0.30656137647663073
64,26,1947,0.993937911646685,0.07543748872144085,0.7076913199794556,0.1603749357986646,0.2985362095531587
64,27,1947,0.9966001787010147,0.061118016878750216,0.7424242424242424,0.1695557267591166,0.31349512069851054
64,28,1947,0.9928939014614513,0.09827744383667608,0.6198638931689779,0.12243194658448896,0.22785053929121726
64,29,1947,0.9943521262343155,0.07596872758471482,0.7626476630713919,0.1778376990241397,0.33140729327170004
64,30,1947,0.9906344510336792,0.09991445882926253,0.7025552131484335,0.15157935285053928,0.26727015921931174
64,31,1947,0.9964179968089678,0.048819807538150684,0.8437981510015409,0.1655110426296867,0.3158063687724705
64,32,1947,0.996357496702778,0.05794689250682832,0.8115048793014895,0.17315100154083204,0.3500898818695429
64,33,1947,0.993385162792003,0.08595645207198141,0.7126348228043143,0.1641628145865434,0.29583975346687214
64,34,1947,0.9891084707331905,0.12367378087109576,0.6097842835130971,0.12628402670775551,0.24422187981510016
64,35,1947,0.9913293334615547,0.10545787306566949,0.7180919363122753,0.15254237288135594,0.2862095531587057
64,36,1947,0.9910948917905763,0.10232030076792353,0.6899717514124294,0.1579994863893169,0.2670775552131484
64,37,1947,0.9928943445798434,0.09605955388846456,0.6432973805855162,0.12743965074473548,0.2406266050333847
64,38,1947,0.9775340038068951,0.1747893917775661,0.4984591679506934,0.09720082177709297,0.1794427324088341
64,39,1947,0.9943083463404108,0.06316526607234402,0.7862737544940934,0.16852850539291217,0.29224447868515663
64,40,1947,0.9969499229144326,0.054628508453555526,0.7649589111453519,0.1808551617873652,0.3011684643040575
64,41,1947,0.99468234773968,0.07580972968318545,0.6996661530559836,0.16705187467899332,0.2829352850539291
64,42,1947,0.9897738862448431,0.10804229819663136,0.5965588084232152,0.12339496661530559,0.22515408320493066
64,43,1947,0.9970469386245702,0.0509891858668934,0.7311890087313816,0.15491782229070364,0.2628402670775552
64,44,1947,0.9962892121715657,0.063021838366485,0.6655752439650745,0.13540061633281972,0.23260143810991268
64,45,1947,0.9970530359292956,0.04589023240728778,0.6859912686183872,0.13533641499743196,0.23825115562403698
64,46,1947,0.9977107198403665,0.043683390782165064,0.6544684129429892,0.14766307139188495,0.2508346173600411
64,47,340,0.994889998059221,0.06731018899026049,0.47352941176470587,0.12022058823529412,0.20698529411764705
