graph_id,layer,hits,misses,pred_hits,pred_total,cpu_experts
20,17,21,9,0,10,3
20,18,12,18,0,10,6
20,19,12,18,0,10,6
20,20,18,12,0,10,4
20,21,3,27,0,10,9
20,22,6,24,0,10,8
20,23,21,9,0,10,3
20,24,21,9,0,10,3
20,25,30,0,0,10,0
20,26,21,9,0,10,3
20,27,27,3,0,10,1
20,28,15,15,0,10,5
20,29,18,12,0,10,4
20,30,18,12,0,10,4
20,31,30,0,0,10,0
20,32,30,0,0,10,0
20,33,12,18,0,10,6
20,34,6,24,0,10,8
20,35,15,15,0,10,5
20,36,18,12,0,10,4
20,37,9,21,0,10,7
20,38,9,21,0,10,7
20,39,21,9,0,10,3
20,40,15,15,0,10,5
20,41,18,12,0,10,4
20,42,6,24,0,10,8
20,43,15,15,0,10,5
20,44,15,15,0,10,5
20,45,21,9,0,10,3
20,46,15,15,0,10,5
20,47,9,21,0,10,7
20,-1,67433,1513,1122,8122,0,25462,4603,37083
21,0,15,15,0,0,5
21,1,18,12,0,10,4
21,2,15,15,0,10,5
21,3,30,0,0,10,0
21,4,27,3,0,10,1
21,5,27,3,0,10,1
21,6,21,9,0,10,3
21,7,12,18,0,10,6
21,8,15,15,0,10,5
21,9,27,3,0,10,1
21,10,15,15,0,10,5
21,11,24,6,0,10,2
21,12,27,3,0,10,1
21,13,12,18,0,10,6
21,14,24,6,0,10,2
21,15,27,3,0,10,1
21,16,30,0,0,10,0
21,17,21,9,0,10,3
21,18,12,18,0,10,6
21,19,18,12,0,10,4
21,20,21,9,0,10,3
21,21,9,21,0,10,7
21,22,15,15,0,10,5
21,23,18,12,0,10,4
21,24,15,15,0,10,5
21,25,21,9,0,10,3
21,26,21,9,0,10,3
21,27,30,0,0,10,0
21,28,24,6,0,10,2
21,29,24,6,0,10,2
21,30,27,3,0,10,1
21,31,30,0,0,10,0
21,32,30,0,0,10,0
21,33,21,9,0,10,3
21,34,12,18,0,10,6
21,35,21,9,0,10,3
21,36,15,15,0,10,5
21,37,6,24,0,10,8
21,38,18,12,0,10,4
21,39,27,3,0,10,1
21,40,27,3,0,10,1
21,41,27,3,0,10,1
21,42,18,12,0,10,4
21,43,24,6,0,10,2
21,44,21,9,0,10,3
21,45,21,9,0,10,3
21,46,18,12,0,10,4
21,47,12,18,0,10,6
