rows,resident_pages,capacity_pages,hits,misses,hit_rate,total_hits,total_misses,total_prefetch_pages
16,5730,16388,0,16,0.000000,38,5730,0
16,5746,16388,0,16,0.000000,38,5746,0
16,5761,16388,1,15,0.062500,39,5761,0
16,5777,16388,0,16,0.000000,39,5777,0
16,5792,16388,1,15,0.062500,40,5792,0
16,5807,16388,1,15,0.062500,41,5807,0
16,5823,16388,0,16,0.000000,41,5823,0
16,5839,16388,0,16,0.000000,41,5839,0
16,5855,16388,0,16,0.000000,41,5855,0
8,5863,16388,0,8,0.000000,41,5863,0
16,5879,16388,0,16,0.000000,41,5879,0
16,5895,16388,0,16,0.000000,41,5895,0
16,5911,16388,0,16,0.000000,41,5911,0
16,5926,16388,1,15,0.062500,42,5926,0
16,5942,16388,0,16,0.000000,42,5942,0
16,5957,16388,1,15,0.062500,43,5957,0
16,5972,16388,1,15,0.062500,44,5972,0
16,5987,16388,1,15,0.062500,45,5987,0
16,6003,16388,0,16,0.000000,45,6003,0
16,6018,16388,1,15,0.062500,46,6018,0
16,6034,16388,0,16,0.000000,46,6034,0
16,6050,16388,0,16,0.000000,46,6050,0
16,6066,16388,0,16,0.000000,46,6066,0
16,6082,16388,0,16,0.000000,46,6082,0
16,6098,16388,0,16,0.000000,46,6098,0
16,6114,16388,0,16,0.000000,46,6114,0
16,6130,16388,0,16,0.000000,46,6130,0
16,6146,16388,0,16,0.000000,46,6146,0
16,6162,16388,0,16,0.000000,46,6162,0
16,6177,16388,1,15,0.062500,47,6177,0
16,6193,16388,0,16,0.000000,47,6193,0
16,6208,16388,1,15,0.062500,48,6208,0
16,6224,16388,0,16,0.000000,48,6224,0
16,6240,16388,0,16,0.000000,48,6240,0
16,6256,16388,0,16,0.000000,48,6256,0
16,6272,16388,0,16,0.000000,48,6272,0
16,6288,16388,0,16,0.000000,48,6288,0
16,6304,16388,0,16,0.000000,48,6304,0
16,6320,16388,0,16,0.000000,48,6320,0
16,6336,16388,0,16,0.000000,48,6336,0
16,6352,16388,0,16,0.000000,48,6352,0
16,6368,16388,0,16,0.000000,48,6368,0
16,6384,16388,0,16,0.000000,48,6384,0
